indicator_id,indicator_name,region,zone,woreda,fiscal_year,count_value,eligible_pop,share,source
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,180460,248941,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,190275,255165,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,181673,261544,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,239651,268083,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,254250,274785,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,130644,281654,0.35,woreda_split
1,Proportion of surviving infants who received 1st dose of Penta,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,281654,281654,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,163484,230022,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,178093,235772,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,169734,241667,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,221224,247708,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,231986,253901,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,121294,260249,0.35,woreda_split
2,Proportion of surviving infants who received OPV3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,255044,260249,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,162157,230022,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,171714,235772,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,173696,241667,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,207935,247708,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,236404,253901,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,122169,260249,0.35,woreda_split
3,Proportion of surviving infants who received IPV,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,260249,260249,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,179999,230022,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,191442,235772,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,194198,241667,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,226092,247708,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,241815,253901,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,124383,260249,0.35,woreda_split
4,Proportion of surviving infants vaccinated for Penta-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,260249,260249,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,135585,230022,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,146526,235772,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,155705,241667,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,187220,247708,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,207928,253901,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,116370,260249,0.35,woreda_split
6,Proportion of surviving infants vaccinated for measles (MCV1),Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,249839,260249,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,131823,230022,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,144804,235772,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,145617,241667,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,177695,247708,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2015,198896,253901,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2016,107359,260249,0.35,woreda_split
7,Proportion of surviving infants who received MCV2,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2017,234224,260249,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2011,180790,230022,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2012,192487,235772,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2013,177973,241667,0.35,woreda_split
9,Proportion of surviving infants vaccinated for PCV-3,Amhara,Amhara Zone 1 (synthetic demo),Amhara Z1 Woreda 1 (synthetic demo),EFY2014,217565,247708,0.35,woreda_split
